1,30.83,0,0,g,9,0,1.25,t,t,01,f,g,00202,0,+
0,58.67,4.46,0,g,8,1,3.04,t,t,06,f,g,00043,560,+
0,24.50,0.5,0,g,8,1,1.5,t,f,0,f,g,00280,824,+
1,27.83,1.54,0,g,9,0,3.75,t,t,05,t,g,00100,3,+
1,20.17,5.625,0,g,9,0,1.71,t,f,0,f,2,00120,0,+
1,32.08,4,0,g,6,0,2.5,t,f,0,t,g,00360,0,+
1,33.17,1.04,0,g,7,1,6.5,t,f,0,t,g,00164,31285,+
0,22.92,11.585,0,g,2,0,0.04,t,f,0,f,g,00080,1349,+
1,54.42,0.5,1,p,5,1,3.96,t,f,0,f,g,00180,314,+
1,42.50,4.915,1,p,9,0,3.165,t,f,0,t,g,00052,1442,+
1,22.08,0.83,0,g,0,1,2.165,f,f,0,t,g,00128,0,+
1,29.92,1.835,0,g,0,1,4.335,t,f,0,f,g,00260,200,+
0,38.25,6,0,g,5,0,1,t,f,0,t,g,00000,0,+
1,48.08,6.04,0,g,5,0,0.04,f,f,0,f,g,00000,2690,+
0,45.83,10.5,0,g,8,0,5,t,t,07,t,g,00000,0,+
1,36.67,4.415,1,p,5,0,0.25,t,t,10,t,g,00320,0,+
1,28.25,0.875,0,g,6,0,0.96,t,t,03,t,g,00396,0,+
0,23.25,5.875,0,g,8,0,3.17,t,t,10,f,g,00120,245,+
1,21.83,0.25,0,g,1,1,0.665,t,f,0,t,g,00000,0,+
0,19.17,8.585,0,g,2,1,0.75,t,t,07,f,g,00096,0,+
1,25.00,11.25,0,g,0,0,2.5,t,t,17,f,g,00200,1208,+
1,23.25,1,0,g,0,0,0.835,t,f,0,f,2,00300,0,+
0,47.75,8,0,g,0,0,7.875,t,t,06,t,g,00000,1260,+
0,27.42,14.5,0,g,10,1,3.085,t,t,01,f,g,00120,11,+
0,41.17,6.5,0,g,8,0,0.5,t,t,03,t,g,00145,0,+
0,15.83,0.585,0,g,0,1,1.5,t,t,02,f,g,00100,0,+
0,47.00,13,0,g,3,2,5.165,t,t,09,t,g,00000,0,+
1,56.58,18.5,0,g,1,2,15,t,t,17,t,g,00000,0,+
1,57.42,8.5,0,g,11,1,7,t,t,03,f,g,00000,0,+
1,42.08,1.04,0,g,9,0,5,t,t,06,t,g,00500,10000,+
1,29.25,14.79,0,g,12,0,5.04,t,t,05,t,g,00168,0,+
1,42.00,9.79,0,g,10,1,7.96,t,t,08,f,g,00000,0,+
1,49.50,7.585,0,g,3,2,7.585,t,t,15,t,g,00000,5000,+
0,36.75,5.125,0,g,11,0,5,t,f,0,t,g,00000,4000,+
0,22.58,10.75,0,g,8,0,0.415,t,t,05,t,g,00000,560,+
1,27.83,1.5,0,g,9,0,2,t,t,11,t,g,00434,35,+
1,27.25,1.585,0,g,2,1,1.835,t,t,12,t,g,00583,713,+
0,23.00,11.75,0,g,10,1,0.5,t,t,02,t,g,00300,551,+
1,27.75,0.585,1,p,2,0,0.25,t,t,02,f,g,00260,500,+
1,54.58,9.415,0,g,ff,ff,14.415,t,t,11,t,g,00030,300,+
1,34.17,9.17,0,g,0,0,4.5,t,t,12,t,g,00000,221,+
1,28.92,15,0,g,0,1,5.335,t,t,11,f,g,00000,2283,+
1,29.67,1.415,0,g,9,1,0.75,t,t,01,f,g,00240,100,+
1,39.58,13.915,0,g,9,0,8.625,t,t,06,t,g,00070,0,+
1,56.42,28,1,p,0,0,28.5,t,t,40,f,g,00000,15,+
1,54.33,6.75,0,g,0,1,2.625,t,t,11,t,g,00000,284,+
0,41.00,2.04,1,p,8,1,0.125,t,t,23,t,g,00455,1236,+
1,31.92,4.46,0,g,2,1,6.04,t,t,03,f,g,00311,300,+
1,41.50,1.54,0,g,3,2,3.5,f,f,0,f,g,00216,0,+
1,23.92,0.665,0,g,0,0,0.165,f,f,0,f,g,00100,0,+
0,25.75,0.5,0,g,0,1,0.875,t,f,0,t,g,00491,0,+
1,26.00,1,0,g,8,0,1.75,t,f,0,t,g,00280,0,+
1,37.42,2.04,0,g,9,0,0.04,t,f,0,t,g,00400,5800,+
1,34.92,2.5,0,g,9,0,0,t,f,0,t,g,00239,200,+
1,34.25,3,0,g,2,1,7.415,t,f,0,t,g,00000,0,+
1,23.33,11.625,1,p,9,0,0.835,t,f,0,t,g,00160,300,+
1,23.17,0,0,g,2,0,0.085,t,f,0,f,g,00000,0,+
1,44.33,0.5,0,g,3,1,5,t,f,0,t,g,00320,0,+
1,35.17,4.5,0,g,10,1,5.75,f,f,0,t,2,00711,0,+
1,43.25,3,0,g,8,1,6,t,t,11,f,g,00080,0,+
1,56.75,12.25,0,g,6,0,1.25,t,t,04,t,g,00200,0,+
1,31.67,16.165,0,g,1,0,3,t,t,09,f,g,00250,730,+
0,23.42,0.79,1,p,8,0,1.5,t,t,02,t,g,00080,400,+
0,20.42,0.835,0,g,8,0,1.585,t,t,01,f,g,00000,0,+
1,26.67,4.25,0,g,2,0,4.29,t,t,01,t,g,00120,0,+
1,34.17,1.54,0,g,2,0,1.54,t,t,01,t,g,00520,50000,+
0,36.00,1,0,g,0,0,2,t,t,11,f,g,00000,456,+
1,25.50,0.375,0,g,6,0,0.25,t,t,03,f,g,00260,15108,+
1,19.42,6.5,0,g,9,1,1.46,t,t,07,f,g,00080,2954,+
1,35.17,25.125,0,g,10,1,1.625,t,t,01,t,g,00515,500,+
1,32.33,7.5,0,g,11,2,1.585,t,f,0,t,2,00420,0,-
1,34.83,4,0,g,1,2,12.5,t,f,0,t,g,0,0,-
0,38.58,5,0,g,2,0,13.5,t,f,0,t,g,00980,0,-
1,44.25,0.5,0,g,6,0,10.75,t,f,0,f,2,00400,0,-
